covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
bt__albumin,-0.0677992060088641,0.9344480863015872,0.006480815925926329,-0.0805013718141133,-0.055097040203614896,0.9226536378736063,0.946393305298295,0.0,-10.46152317606109,1.2975281920609119e-25,82.67243648708482
bt__alkaline_phosphatase,5.652725154437086e-05,1.0000565288492396,0.0006329775796273516,-0.0011840860075465725,0.0012971405106353142,0.9988166147456787,1.001297982161261,0.0,0.08930371843130644,0.9288405389987308,0.10649715526773008
bt__alt_gpt,-0.0034945936152776607,0.9965115053704297,0.0013449323413225944,-0.006130612565913077,-0.0008585746646422444,0.9938881412955128,0.9991417938051246,0.0,-2.5983415729605466,0.00936752602504193,6.738116203978873
bt__ast_got,-1.3549840759871655e-09,0.9999999986450159,2.7480666074604785e-06,-5.387466561815695e-06,5.384756593663721e-06,0.9999946125479505,1.0000053847710915,0.0,-0.0004930681346327783,0.9996065885638934,0.0005676844019911975
bt__basophils_%,-1.3982176201519371e-08,0.9999999860178239,4.9486318568475975e-05,-9.700538429789015e-05,9.69774199454871e-05,0.9999029993205724,1.0000969821224075,0.0,-0.000282546299785298,0.9997745606726889,0.0003252768660098045
bt__basophils_abs,0.8810222031965381,2.4133653958067303,0.35331141984640596,0.18854454497087236,1.5734998614222038,1.2074908694342557,4.823500269121077,0.0,2.493613717834375,0.012645007218332756,6.305288329218817
bt__bilirubin_total,-1.116363000376632e-08,0.9999999888363701,1.535793669068793e-05,-3.0112166420598374e-05,3.008983916059084e-05,0.9999698882869462,1.0000300902918644,0.0,-0.0007268964723975734,0.9994200205784467,0.000836976173239374
bt__calcium,0.3312892262673833,1.392762557576118,0.18152083980497152,-0.024485082193825558,0.687063534728592,0.975812245787774,1.9878696441444812,0.0,1.8250754382985719,0.06798964609627281,3.8785411296307903
bt__creatinine,0.003329033134367378,1.0033345805192735,0.001167685879354372,0.0010404108655768262,0.00561765540315793,1.0010409522807098,1.005633464017859,0.0,2.8509663371180283,0.004358658366841924,7.841900155477681
bt__eosinophils_%,-0.0007646870064538696,0.9992356052921446,0.015438513962784324,-0.031023618348329892,0.029494244335422155,0.9694526759346411,1.0299335075030254,0.0,-0.049531127691253445,0.9604960313251344,0.05814844205785746
bt__eosinophils_abs,-0.14775787374152458,0.8626399574432055,0.21473578754590125,-0.5686322835233357,0.2731165360402865,0.5662994463508702,1.314053370478758,0.0,-0.6880915166967235,0.4913951523286352,1.025044469474494
bt__glucose,-0.012156533935856525,0.987917058212474,0.016138278412975743,-0.0437869783977692,0.01947391052605615,0.957157831052296,1.0196647639963408,0.0,-0.7532732813732005,0.4512857110673745,1.1478869952613842
