,var,r,p-val,CI95%
0,Duodenibacillus massiliensis_Rep_695,0.035172746030010076,0.045293911200864755,[0.   0.07]
1,Sutterella wadsworthensis_Rep_698,0.03373806831150463,0.054831365682993835,[-0.    0.07]
2,Sutterella_genus_Rep_704_Rep_704,0.02527071802288117,0.15040310584060393,[-0.01  0.06]
3,Sutterella_genus_Rep_705_Rep_705,0.0006186560382607824,0.9719195173485182,[-0.03  0.04]
4,Sutterella_genus_Rep_706_Rep_706,0.059305335956139967,0.00073177451351495,[0.02 0.09]
5,Sutterella wadsworthensis_A_Rep_709,0.04568929118960786,0.009294302387953866,[0.01 0.08]
6,Akkermansia muciniphila_A_Rep_720,0.03211071881268984,0.06761859971530033,[-0.    0.07]
7,Akkermansia muciniphila_Rep_721,0.038932550985322736,0.02668707337175184,[0.   0.07]
8,Victivallaceae_family_Rep_727,0.036560778156917606,0.03743677646463477,[0.   0.07]
9,Victivallis sp002998355_Rep_730,0.022029378064850124,0.20998654313665477,[-0.01  0.06]
10,Victivallis vadensis_Rep_731,0.04071663565606613,0.020465722905004667,[0.01 0.08]
11,UBA11452 sp003526375_Rep_736,0.036112719299667854,0.03983563289744472,[0.   0.07]
12,CAG-267 sp900551865_Rep_766,0.005893182227720725,0.7373842470757858,[-0.03  0.04]
13,CAG-267 sp001917135_Rep_767,0.019809785699898132,0.2596290723337817,[-0.01  0.05]
14,CAG-495 sp000432275_Rep_769,0.025176503440548517,0.1519304942306634,[-0.01  0.06]
15,CAG-495 sp900540425_Rep_776,0.016937039209926345,0.33516110489335404,[-0.02  0.05]
16,CAG-495 sp000436375_Rep_778,0.031242410248501294,0.07538792772640354,[-0.    0.07]
17,CAG-495 sp001917125_Rep_779,-0.04509117855919231,0.01025973792322263,[-0.08 -0.01]
18,51-20 sp001917175_Rep_787,0.007711490198470065,0.6608188776925062,[-0.03  0.04]
19,Bifidobacterium angulatum_Rep_836,0.024151822765351043,0.16931261979870374,[-0.01  0.06]
20,Bifidobacterium pseudocatenulatum_Rep_838,-0.0052030466811863385,0.7671916436485351,[-0.04  0.03]
21,Bifidobacterium catenulatum_Rep_840,0.026712002074132678,0.1284711848721329,[-0.01  0.06]
22,Bifidobacterium adolescentis_Rep_842,0.03182282221830554,0.07011817480500587,[-0.    0.07]
23,Bifidobacterium bifidum_Rep_846,-0.05037634439261445,0.004128322103832808,[-0.08 -0.02]
24,Bifidobacterium longum_Rep_848,-0.034912921639152446,0.04690940318806976,[-0.07 -0.  ]
25,Escherichia flexneri_Rep_959,-0.0782746897858439,8.173086159275093e-06,[-0.11 -0.04]
26,Klebsiella pneumoniae_Rep_975,-0.04825456037671446,0.006009946383760573,[-0.08 -0.01]
27,CAG-312 sp000438015_Rep_33,-0.01911091686710469,0.2768194269754504,[-0.05  0.02]
28,CAG-312 sp900545715_Rep_41,-0.0004062313582996905,0.9815592005200557,[-0.03  0.03]
29,CAG-312 sp900545705_Rep_42,-0.006932468594561235,0.6932447723970749,[-0.04  0.03]
30,Ligilactobacillus ruminis_Rep_1042,0.048298821520455976,0.005963873666127238,[0.01 0.08]
31,Methanobrevibacter_A smithii_Rep_1094,-0.005011518569783894,0.7755274210907819,[-0.04  0.03]
32,Streptococcus thermophilus_Rep_1116,0.06630925816640476,0.0001586713750944028,[0.03 0.1 ]
33,Streptococcus sp001556435_Rep_1119,-0.032990760187398334,0.06042858771451522,[-0.07  0.  ]
34,Streptococcus salivarius_Rep_1120,-0.01584308076051906,0.3673158573875973,[-0.05  0.02]
35,Holdemania massiliensis_Rep_1207,-0.03097243605668014,0.07794695729787725,[-0.07  0.  ]
36,Holdemania filiformis_Rep_1208,-0.006928637091475819,0.6934057114320247,[-0.04  0.03]
37,Catenibacterium mitsuokai_Rep_1228,0.010128330676719841,0.5644076859058236,[-0.02  0.04]
38,Catenibacterium sp000437715_Rep_1229,0.018402203378058115,0.29502751767615953,[-0.02  0.05]
39,Erysipelatoclostridium sp003024675_Rep_1237,0.06770917714221122,0.00011478085157658752,[0.03 0.1 ]
